ok ( recorded ) 177 - Tests _ Formatting _ Utf8UriEncode : : test _ percent _ encodes _ non _ reserved _ characters with data set # 0 ( ' 章子怡 ' , ' % e7 % ab % a0 % e5 % ad % 90 % e6 % 80 % a1 ' ) 
ok ( recorded ) 182 - Tests _ Formatting _ Utf8UriEncode : : test _ output _ is _ not _ longer _ than _ optional _ length _ argument with data set # 0 ( ' 章子怡 ' , ' % e7 % ab % a0 % e5 % ad % 90 % e6 % 80 % a1 ' ) 
ok ( recorded ) 522 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 0 ( ' http : / / site . com / ' , ' http : / / example . com / ' , ' http : / / site . com / ' ) 
ok ( recorded ) 524 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 2 ( ' ' , ' http : / / example . com ' , ' http : / / example . com / ' ) 
ok ( recorded ) 527 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 5 ( ' relative - file . ext ' , ' http : / / example . com / ' , ' http : / / example . com / relative - file . ext ' ) 
ok ( recorded ) 528 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 6 ( ' relative - file . ext ' , ' http : / / example . com / filename ' , ' http : / / example . com / relative - file . ext ' ) 
ok ( recorded ) 529 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 7 ( ' relative - file . ext ' , ' http : / / example . com / directory / ' , ' http : / / example . com / directory / relative - file . ext ' ) 
ok ( recorded ) 530 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 8 ( ' . . / file - in - parent . ext ' , ' http : / / example . com ' , ' http : / / example . com / file - in - parent . ext ' ) 
ok ( recorded ) 531 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 9 ( ' . . / file - in - parent . ext ' , ' http : / / example . com / filename ' , ' http : / / example . com / file - in - parent . ext ' ) 
ok ( recorded ) 532 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 10 ( ' . . / file - in - parent . ext ' , ' http : / / example . com / directory / ' , ' http : / / example . com / file - in - parent . ext ' ) 
ok ( recorded ) 533 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 11 ( ' . . / file - in - parent . ext ' , ' http : / / example . com / directory / filename ' , ' http : / / example . com / file - in - parent . ext ' ) 
ok ( recorded ) 534 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 12 ( ' . . / . . / file - in - grand - parent . ext ' , ' http : / / example . com ' , ' http : / / example . com / file - in - grand - parent . ext ' ) 
ok ( recorded ) 535 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 13 ( ' . . / . . / file - in - grand - parent . ext ' , ' http : / / example . com / filename ' , ' http : / / example . com / file - in - grand - parent . ext ' ) 
ok ( recorded ) 538 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 16 ( ' . . / . . / file - in - grand - parent . ext ' , ' http : / / example . com / directory1 / directory2 / filename ' , ' http : / / example . com / file - in - grand - parent . ext ' ) 
ok ( recorded ) 542 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 20 ( ' otherfile . ext ? query = string ' , ' http : / / example . com / file . ext ? existing = query - string ' , ' http : / / example . com / otherfile . ext ? query = string ' ) 
ok ( recorded ) 543 - Tests _ HTTP _ HTTP : : test _ make _ absolute _ url with data set # 21 ( ' . ext ' , ' http : / / example . com / ' , ' http : / / example . com / . ext ' ) 
